fea_idx	fea_name
1804	urls::10_0_2_2
1197	urls::115_28_91_75
7873	urls::118_85_194_4
7694	urls::119_147_146_243
4352	urls::120_24_84_85
5803	urls::121_15_129_241
2534	urls::127_0_0_1
5293	urls::173_255_214_121
7438	urls::184_82_135_71
5916	urls::192_168_0_105
9637	urls::192_168_0_137
5300	urls::192_168_1_100
6184	urls::192_168_1_237
7816	urls::192_168_1_55
8627	urls::192_168_1_69
8151	urls::192_241_167_87
418	urls::211_155_25_46
8879	urls::212_227_251_145
8994	urls::27_147_141_227
7122	urls::54_179_179_103
1504	services::_a
5561	activities::_a24gameActivity
3925	receivers::aax_k_az_ssat_y_jvxbb
8967	activities::a_b_c_ActivityA
8969	receivers::a_b_c_ReceiverA
1585	activities::about
4283	activities::AboutActivity
8858	activities::_activity
241	activities::_Activity1
7847	activities::_activity_CollectActivity
3302	activities::_activity_CommentActivity
9830	activities::ActivityExtractDatas
23	activities::_activity_HomeActivity
2176	activities::_activity_LoadingActivity
2353	activities::_ActivityMain
6897	activities::_activity_MessageDetailActivity
9832	activities::ActivityPlay
3645	activities::_activity_PublishActivity
6609	activities::_activity_SettingActivity
2183	activities::_activity_SplashScreenActivity
9587	activities::_activity_StoreActivity
9233	activities::_activity_WebViewActivity
8575	activities::_ActSetting
6607	activities::_ActSplash
204	activities::_Acupuncture3D
7121	activities::_AddWebLinkActivity
5415	activities::_AdMobTestActivity
3662	activities::_AdsSplshActivity
4732	receivers::air_com_gggames_rpgquest_a_Hn
4733	receivers::air_com_gggames_rpgquest_m_Vol
4734	receivers::air_com_gggames_rpgquest_s_Fdya
4735	receivers::air_com_gggames_rpgquest_v_Tcc
4738	receivers::air_com_gggames_rpgquest_z_Nyo
4737	activities::air_com_gggames_rpgquest_z_Oiu
6763	receivers::air_kenney_trid_Rhidh
2811	receivers::air_thix_sciencesense_chemist_l_Gepr
2810	receivers::air_thix_sciencesense_chemist_o_Kff
5796	receivers::AlarmClassReceiver
772	receivers::AlarmReceiver
1813	activities::_AlarmReceiver
6743	intents::andoird_intent_action_PACKAGE_ADDED
8697	api_calls::android/accounts/AccountManager;->addAccount
8619	api_calls::android/accounts/AccountManager;->confirmCredentials
439	api_calls::android/accounts/AccountManager;->getAccountsByType
8661	activities::_AndroidActivity
9361	api_calls::android/app/ActivityManager;->restartPackage
5098	api_calls::android/app/Activity;->sendStickyBroadcast
9741	api_calls::android/app/Activity;->setWallpaper
2255	api_calls::android/app/NotificationManager;->notify
7344	api_calls::android/app/Service;->startService
814	api_calls::android/app/WallpaperManager;->suggestDesiredDimensions
7411	api_calls::android/bluetooth/BluetoothAdapter;->cancelDiscovery
2453	api_calls::android/bluetooth/BluetoothAdapter;->disable
7605	api_calls::android/bluetooth/BluetoothAdapter;->enable
4492	api_calls::android/bluetooth/BluetoothAdapter;->getBondedDevices
8582	api_calls::android/bluetooth/BluetoothAdapter;->getState
1173	api_calls::android/bluetooth/BluetoothAdapter;->isDiscovering
6961	api_calls::android/bluetooth/BluetoothAdapter;->isEnabled
2095	api_calls::android/bluetooth/BluetoothSocket;->connect
1901	api_calls::android/content/ContentResolver;->openOutputStream
6930	api_calls::android/content/ContentResolver;->query
6313	api_calls::android/content/Context;->sendBroadcast
6669	api_calls::android/content/Context;->startActivity
5299	api_calls::android/content/Context;->startService
6580	api_calls::android/content/pm/PackageManager;->setComponentEnabledSetting
4319	api_calls::android/hardware/Camera;->open
8542	intents::android_intent_action
6446	intents::android_intent_action_ABOUT
6646	intents::android_intent_action_ACTION_MEDIA_MOUNTED
7975	intents::android_intent_action_ACTION_POWER_DISCONNECTED
6793	intents::android_intent_action_AIRPLANE_MODE
4614	intents::android_intent_action_ANSWER
150	intents::android_intent_action_CONFIGURATION_CHANGED
5084	intents::android_intent_action_DATA_SMS_RECEIVED
6444	intents::android_intent_action_GAMEACTIVITY
6445	intents::android_intent_action_LEVELCOMPLETE
4634	intents::android_intent_action_LOCALE_CHANGED
2535	intents::android_intent_action_MEDIA_REMOVED
8586	intents::android_intent_action_notifyads_UPDATE
1503	intents::android_intent_action_PACKAGE_FULLY_REMOVED
2630	intents::android_intent_action_PACKAGE_INSTALL
677	intents::android_intent_action_PACKAGE_REPLACED
4290	intents::android_intent_action_PACKAGE_RESTARTED
2691	intents::android_intent_action_QUERY_PACKAGE_RESTART
4405	intents::android_intent_action_QUICKBOOT_POWERON
5091	intents::android_intent_action_Run
5550	intents::android_intent_action_SCREEN_OFF
5059	intents::android_intent_action_SETTINGS
1520	intents::android_intent_action_SMS_DELIVERED
1525	intents::android_intent_action_SMS_SENT
3513	intents::android_intent_action_TIME_SET
2207	intents::android_intent_action_TIMEZONE_CHANGED
3214	intents::android_intent_category_LEANBACK_LAUNCHER
5585	intents::android_intent_category_MULTIWINDOW_LAUNCHER
2222	api_calls::android/location/LocationManager;->addGpsStatusListener
8541	api_calls::android/location/LocationManager;->getProvider
824	api_calls::android/location/LocationManager;->sendExtraCommand
5139	api_calls::android/media/AudioManager;->isBluetoothA2dpOn
2598	api_calls::android/media/AudioManager;->setMode
5674	api_calls::android/media/AudioManager;->startBluetoothSco
4391	api_calls::android/media/RingtoneManager;->setActualDefaultRingtoneUri
7548	api_calls::android/net/ConnectivityManager;->getAllNetworkInfo
1286	api_calls::android/net/ConnectivityManager;->startUsingNetworkFeature
5032	api_calls::android/net/NetworkInfo;->isConnectedOrConnecting
4490	api_calls::android/net/wifi/WifiManager;->getDhcpInfo
588	api_calls::android/net/wifi/WifiManager;->getScanResults
5781	api_calls::android/net/wifi/WifiManager$MulticastLock;->release
4152	api_calls::android/net/wifi/WifiManager;->removeNetwork
3694	api_calls::android/os/PowerManager$WakeLock;->release
3004	api_calls::android/os/Vibrator;->vibrate
3275	receivers::android_permission_BIND_DEVICE_ADMIN
2911	api_permissions::android_permission_GET_ACCOUNTS
8015	receivers::android_permission_RECEIVE_BOOT_COMPLETED
744	activities::_AndroidPlugin
2735	api_calls::android/provider/Browser;->clearHistory
7398	api_calls::android/provider/Browser;->clearSearches
4032	api_calls::android/provider/Contacts$People;->createPersonInMyContactsGroup
7833	api_calls::android/provider/Contacts$People;->loadContactPhoto
8399	providers::android_provider_MediaStore_RECORD_SOUND
7761	api_calls::android/provider/Settings$Secure;->putString
6732	api_calls::android/provider/Settings$System;->putFloat
3750	api_calls::android/provider/Settings$System;->putLong
5169	api_calls::android/provider/Settings$System;->putString
3377	api_calls::android/speech/SpeechRecognizer;->startListening
4449	api_calls::android/speech/SpeechRecognizer;->stopListening
2091	api_calls::android/telephony/SmsManager;->sendMultipartTextMessage
1894	api_calls::android/telephony/TelephonyManager;->getDeviceId
8549	api_calls::android/telephony/TelephonyManager;->listen
531	api_calls::android/webkit/WebSettings;->setBlockNetworkLoads
6909	services::android_Wei_DownloadService
9467	activities::_animalmatch
5367	services::anywheresoftware_b4a_samples_httputils2_httputils2service
1248	activities::_App
