feature_name,feature_index,weight
activities::_LoadingAct,7940,-1.760651091152625
activities::_MainActivity_,3873,-1.7499354284402218
activities::com_yuanhang_easyandroid_ui_EasyFeedbackActivity,269,-1.6496456198223792
activities::_MobilecoreActivity,14,-1.5310391511283175
receivers::com_adchina_android_ads_views_AdCompleteReceiver,5288,-1.4815589714454513
app_permissions::name='android_intent_action_USER_PRESENT',9946,-1.4127455147786694
urls::https://api_tv189_com/v2/Internet,9870,-1.2084443757914811
urls::https://api_tv189_com/v2/Live,9871,-1.2084443757914811
urls::https://git-wip-us_apache_org/repos/asf?p=incubator-cordova-android_git;a=blob;f=framework/res/xml/plugins_xml,1421,-1.192592355340886
services::DownloadService,4540,-1.1579641915486207
activities::_BabyContentActivity,17,-1.1279195269858096
activities::com_cuiymapp_huazhuang_MainActivity,33,-1.1267103349940903
activities::com_cuiymapp_huazhuang_ListsActivity,34,-1.1267103349940903
activities::com_cuiymapp_huazhuang_EntryActivity,35,-1.1267103349940903
app_permissions::name='android_permission_CALL_PRIVILEGED',4497,-1.1265865649231697
activities::com_ddgame_studio_dont_pileup_MainActivity,48,-1.1233834273735332
urls::http://adviap_goforandroid_com/adv_iap/userTag,8376,-1.1215041062448816
interesting_calls::Cipher(e),9236,-1.1086142530831373
intents::android_intent_action_Run,5091,-1.0790531432327202
app_permissions::name='com_android_launcher2_permission_READ_SETTINGS',9507,-1.076634824983579
urls::http://192_168_,1137,-1.0747443424780576
activities::com_baidu_lbsapi_API_KEY,1420,-1.066458744628597
activities::com_revmob_FullscreenActivity,63,-1.0636193877753124
urls::http://www_u-works_net/m,40,-1.0417096949997169
activities::_Kowai1,41,-1.0417096949997169
urls::https://graph_facebook_com/me?access_token=,2842,-1.0098070823831502
urls::http://imgcache_qq_com/wtlogin,9152,-1.0032194926560294
receivers::_GcmBroadcastReceiver,3527,-0.9998825687775016
services::wciz_qxuj_elrg_e,7417,-0.9904838404952949
activities::wciz_qxuj_elrg_a,7418,-0.9904838404952949
intents::android_intent_action_MEDIA_REMOVED,2535,-0.966097172105914
activities::_EntranceActivity,3462,-0.9619715108030373
urls::https://www_googleapis_com/games/v1management/achievements/reset?access_token=,112,-0.9569914239455674
urls::http://db-inf-platform6_db01_baidu_com:8787/batsdk/api_int/add_crash,6242,-0.9569138401163106
receivers::it_partytrack_sdk_MultipleReferrerReceiver,8207,-0.9482833516317746
activities::com_baidu_mobads_appoffers_OffersActivity,3235,-0.9467255904853863
activities::xkrcpg_ofleys_utege_kego_fqvb,517,-0.9195807666501822
urls::http://portre_yemonisoni_com/mcla,32,-0.9135060288372929
urls::http://gdata_youtube_com/feeds/api/videos/,7414,-0.9134114389412298
receivers::x_wb_jrgm_n_hj_rlszg,49,-0.8972299021797052
services::x_wb_jrgm_n_hj_cuqh,50,-0.8972299021797052
activities::x_wb_jrgm_n_hj_rvel,51,-0.8972299021797052
urls::https://play_google_com/store/apps/details?id=fasa_kitty,152,-0.8968400289150813
intents::android_intent_action_DATA_SMS_RECEIVED,5084,-0.8933785678179826
receivers::com_unity3d_player_a_bu,81,-0.8874706853262543
receivers::com_unity3d_player_UnityPlayerd15d,80,-0.8874705832410701
activities::tpr_mqyn_jjiiw_a,57,-0.8849831691162283
receivers::tpr_mqyn_jjiiw_b,58,-0.8849831691162283
services::tpr_mqyn_jjiiw_s,59,-0.8849831691162283
interesting_calls::Cipher(cipher),4536,-0.87340585739142
activities::_NewMainActivity,913,-0.8648130027011495
services::org_androld_pcapi_Drs,72,-0.8588664976686483
