feature_name,feature_index,weight
urls::http://wx_unshang_com,9202,2.4787619243273857
urls::http://pmir_3g_qq_com,5222,2.255445765075077
services::com_apperhand_device_android_AndroidSDKProvider,0,2.200004281228689
urls::http://m_irs01_com/rec/cl?_iwt_t=i&sv=2,3333,2.0497223152808632
urls::http://map,5097,2.0216932400451797
activities::CordovaApp,1,2.02003122171666
urls::https://api_domob_cn/d,216,2.0003489116187545
urls::https://collector_mobile_cnzz_com,1495,1.958779889678923
urls::http://os_scmpacdn_com/files/mobile/0_9_2/offerwall_site/fallback/?sdk=1&fallback=1&ts=,3,1.9066411537671444
activities::_OpticalIllusionsActivity,2,1.81450348442169
urls::http://rp,9319,1.792431962839967
urls::https://pay_heepay_com/Phone/SDK,6928,1.7743671001760948
app_permissions::name='com_xiaomi_sdk_permission_PAYMENT',10,1.7496895578463243
urls::http://android_marsorstudio_cn/apps/statistics/startreport_html,1890,1.723883941255964
activities::_tinusanakpapua,4,1.6875883458421461
app_permissions::name='com_bambo_tennisfight_permission_C2D_MESSAGE',12,1.6715792111763255
urls::http://beekn_net/wp-content/uploads/2013/12/estimote-2-beacons_png,16,1.6252618775404766
urls::http://api_jiagu_360_cn/s_html,83,1.5757129737748907
urls::http://vaero_blog_51cto_com/\,9654,1.5252036939494926
urls::http://lstest_map_soso_com/loc,4262,1.525063934627467
urls::http://arturoilha_com_br,6,1.5009482035696646
activities::DetailActivity,7837,1.4903231843761144
activities::Loading___,5,1.446056169909698
providers::id_merame_thecommentnet_suggestion_provider,7,1.386727839847593
providers::com_iraq_chat_ml_suggestion_provider,8,1.3867276861028108
activities::com_ganji_android_job_control_JobCommentListActivity,1249,1.3755073015279562
urls::http://tempuri_org/IAndroid/,2500,1.358590858636958
activities::com_uu_niumowang_MainActivity,272,1.356766946548225
urls::http://crash_163_com,3889,1.3531534215397825
urls::http://loc_map_baidu_com:80/qloc2,7091,1.3405345890583722
activities::com_thomsonreuters_exchange_library_settings_SettingsActivity,9,1.3281665247439958
app_permissions::name='com_goodbarber_dampferapp_permission_C2D_MESSAGE',11,1.3256951460592388
providers::com_hakika_app_yemennews_suggestion_provider,13,1.3190933526156996
activities::xxxxx,18,1.3173120892615655
providers::com_tsstudio_loveqprank_firebaseinitprovider,188,1.3160647173375715
urls::https://api_apptentive_com/surveys,4341,1.3148730134185558
activities::_UnLockActivity,9224,1.3084652215953074
app_permissions::name='air_com_tamalaki_winterwondersfree_permission_C2D_MESSAGE',24,1.2718424626543834
services::com_alimama_mobile_sdk_shell_DownloadingService,3687,1.270239349375575
urls::https://play_google_com/store/,54,1.2582211970248722
